Fraktion;Ausrüstung;Punkte;Beschreibung
Adeptus Astartes;Tarnmantel;1;Wenn ein Gegner einen Trefferwurf für eine Fernkampfattacke durchführt, die ein mit einem Tarnmatel ausgerüsteten Model als Ziel hat und das Zielmodell verdeckt ist, erleidet dieser Trefferwurf einen zusätzlichen Modifikator von -1.
Adeptus Astartes;Auspex;1;"zu Begin deiner Fernkampfphase kannst du ein andees Model der ADEPTUS ASTARTES innerhalb von 3"" um ein befreundetes, mit einem Auspex ausgerüstetes und nicht erschüttertes Modell wählen. Das gewählte Modell erleidet keine negativen Modifikationen auf seine Treffer- und Verletzungswürfe dadurch, dass sein Ziel verdeckt ist."
Adeptus Astartes;Gravschirm;1;"Ein Modell mit einem Gravschirm erleidet niemals Sturzschaden und fällt niemals auf ein anderes Modell. Wenn es dies würde, platziere stattdessen dieses Modell so nah wie möglich an dem Punkt an dem es gelandet wäre. Dies darf dazu führen, dass es sich innerhalb von 1"" um ein feindliches Modell steht."
Adeptus Astartes;Greifhakenwerfer;1;Ein Modell mit einem Greifhakenwerfen kann jede Distanz vertikal (nach oben oder unten) erklettern, wenn es eine normale Bewegung ausführt - miss die auf diese Art bewegte Entfernung nicht ab.
Adeptus Astartes;Unterlauf Granatwerfer;0;"Erhöhe die Reichweite aller Granaten, die ein mit einem Unterlauf-Granatwerfer bewaffnetes Modell besitzt, auf 30""."
Thousand Sons;Ikone der Flammen;1;"Wirf zu Begin deines Zuges in der Psiphase einen W6 für jedes Modell deines Kill Teams, das mit einer Ikone der Flammen ausgerüstet ist. Bei einer 6 erleidet das nächste feindliche Modell in 12"" um das Modell mit der Ikone der Flammen 1 tödliche Verwundung."
Thousand Sons;Herdenhorn;3;"Addiere 1 auf alle Vorrücken Würfe und Angriffswürfe, die TZAANGOR innerhalb von 6"" um ein befreundetes Modell mit einem Herdenhorn ablegen."
Tau;Schildgenerator;0;Ein Modell mit einem Schildgenerator hat einen Rettungswurf von 4+.
Tau;Zielmarkierer;0;"Ein Zielmarkierer ist Reichweite 36"" und Schwer 1. Wenn ein Modell einen Zielmarkierer abfeuert, kann es in dieser Phase keine weiteren Waffen abfeuern. Wird ein Modell von einem Zielmarkierer getroffen, platzierst du für den Rest der Phase einen Marker neben ihm. Die Marker und Effekte sind kumulativ. Folgende Effekte treten ein: 1 Marker: Du kannst Trefferwürfe von 1 gegen dieses Modell wiederholen; 2 Marker: Addiere 1 zu Trefferwürfen für Attacken gegen dieses Modell, wenn es verdeckt ist; 3 Marker: Modelle, die dieses Modell attackieren, erleiden nicht den Abzug für das Bewegen und Abfeurn von Schweren Waffen oder das Vorrücken und abfeuern von Sturmwaffen; 4 oder mehr Marker: Addiere 1 zu den Trefferwürfen für Attacken gegen dieses Modell."
Tau;Schutzfelder;0;"Eine Guardian Drone hat einen Rettungswurf von 5+. Befreundete Modelle der TAU innerhalb von 6"" um dieses Modell haben einen Rettungswurf von 6+."
Tau;Gravitationswellenprojektor;0;"Feindliche Modelle, die ihre Angriffsbewegung innerhalb von 12"" um eine Grav-Inhibitor Drone beginnen, reduzieren ihre Angriffsreichweite um W3 Zoll."
Tau;Pulsbeschleuniger;0;"Solange sich ein TAU INFANTRIE Modell innerhalb von 3"" um eine befreundete Pulse Accelerator Drone befindet, erhöst du den Profilwert Reichweite der Pulspistole, des Pulskarabiners oder des Pulsgewehrs des Modells um 6""."
Tau;Aufklärungsausrüstung;0;"Zu Beginn der Fernkampfphase kannst du einen PATHFINDER deines Kill Teams innerhalb von 6"" um eine befreundete Recon Drone wählen. Bis zum Ende der Phase erleidet das gewählte Modell keinen Abzug auf Treffer- und Verwundungswürfe dafür, dass das Ziel verdeckt ist."
Tau;Feuerleitsystem;1;Ein Modell mit Feuerleitsystem erleidet keinen Abzug auf Trefferwürfe für das Vorrücken und abfeuern von Sturmwaffen.
Heretic Astartes;Ikone der Ausschweifung;5;Die Fähigkeite Tod den falschen Imperator innerhalb von 6 Zoll um ein befreundetes Modell mit einer Ikone der Ausschweifung wirkt bereits bei 5+ statt 6+.
Heretic Astartes;Ikone der Flammen;1;Wirf zu Beginn deines Zuges in der Psiphase einen W6 für jedes Modell in deinem Kill Team, das mit einer Ikone der der Flammen ausgerüstet ist. Bei einer 6 erleidet das nächste feindliche Modell in 12 Zoll um das Modell mit der Ikone der Flammen eine tödliche Verwundung.
Heretic Astartes;Ikone der Vergeltung;1;Erhöhe den Moralwert aller Modelle um 1, die sich innerhalb von 6 Zoll um mindestens ein befreundetes Modell mit der Ikone der Vergeltung befindet.
Heretic Astartes;Ikone der Verzweiflung;3;Feindliche Modelle innerhalb von 6 Zoll um mindestens ein Modell mit einer Ikone der Verzweiflung ziehen 1 von ihrem Moralwert ab.
Heretic Astartes;Ikone des Zorns;5;Für alle Modelle des Khorne innerhalb von 6 Zoll um befreundete Modelle mit der Ikone des Zorns darfst du Angriffswürfe wiederholen.
